no,jenis_ikan,nama_ikan,lokasi,total_kg
2,Pelagis Besar,Bawal Laut,Sawarna,176
3,Pelagis Besar,Cakalang,Sawarna,6742
4,Pelagis Kecil,Cendro,Sawarna,1312
5,Karang (Reef-Associated),Ekor Kuning,Sawarna,2098
6,Demersal,Gabus Laut,Sawarna,998
7,Demersal,Gerot-gerot,Sawarna,3117
8,Demersal,Golok-golok,Sawarna,962
9,Demersal,Gulamah,Sawarna,2321
10,Demersal / Karang,Kakap,Sawarna,242
11,Demersal / Karang,Kakap Batu,Sawarna,130
12,Demersal / Karang,Kakap Jenaha,Sawarna,282
13,Demersal / Karang,Kakap Merah,Sawarna,334
14,Demersal,Kapas-kapas,Sawarna,2403
15,Pelagis Kecil,Kembung Lelaki,Sawarna,2269
16,Pelagis Kecil,Kembung Perempuan,Sawarna,2101
17,Karang (Reef-Associated),Kerapu,Sawarna,313
18,Demersal,Kuniran,Sawarna,1475
19,Demersal,Kurisi,Sawarna,1903
20,Pelagis Kecil / Semi-Demersal,Kuro,Sawarna,4396
21,Pelagis Besar,Kuwe,Sawarna,1563
22,Pelagis Besar,Kuwe Gerong,Sawarna,319
23,Pelagis Kecil,Layang,Sawarna,777
24,Pelagis Besar,Layaran,Sawarna,187
25,Demersal (Benthopelagis),Layur,Sawarna,13614
26,Pelagis Besar,Lemadang,Sawarna,4694
27,Karang (Reef-Associated),Lencam,Sawarna,187
28,Demersal,Manyung,Sawarna,477
29,Pelagis Besar,Marlin,Sawarna,364
30,Pelagis Besar,Nyunglas,Sawarna,138
31,Demersal (Elasmobranch),Pari,Sawarna,538
32,Pelagis Besar,Pedang,Sawarna,113
33,Pelagis Kecil / Semi-Demersal,Peperek,Sawarna,2528
34,Karang (Reef-Associated),Pinjalo,Sawarna,178
35,Pelagis Kecil,Pisang-pisang,Sawarna,7639
36,Demersal (Flatfish),Sebelah,Sawarna,777
37,Pelagis Kecil,Selar Bentong,Sawarna,4920
38,Pelagis Kecil,Selar Kuning,Sawarna,66
39,Karang (Reef-Associated),Swanggi,Sawarna,718
40,Pelagis Besar,Tenggiri,Sawarna,167
41,Pelagis Besar,Tenggiri Papan,Sawarna,219
42,Pelagis Kecil / Semi-Demersal,Tetengkek,Sawarna,1148
43,Pelagis Besar,Tongkol,Sawarna,987
44,Pelagis Besar,Tongkol Abu-abu,Sawarna,871
45,Pelagis Besar,Tongkol Banyar,Sawarna,2027
46,Pelagis Besar,Tongkol Komo,Sawarna,1663
47,Pelagis Besar,Tongkol Lisong,Sawarna,1683
48,Pelagis Besar,Tuna Mata Besar,Sawarna,27
49,Pelagis Besar,Tuna Sirip Kuning,Sawarna,1853
JUMLAH,,,Sawarna,85227
1,Demersal,Ayam-ayam,Citarate,670
2,Pelagis Besar,Bawal Laut,Citarate,98
3,Pelagis Besar,Cakalang,Citarate,3708
4,Pelagis Kecil,Cendro,Citarate,734
5,Karang (Reef-Associated),Ekor Kuning,Citarate,1174
6,Demersal,Gabus Laut,Citarate,559
7,Demersal,Gerot-gerot,Citarate,1744
8,Demersal,Golok-golok,Citarate,538
9,Demersal,Gulamah,Citarate,1299
10,Demersal / Karang,Kakap,Citarate,136
11,Demersal / Karang,Kakap Batu,Citarate,72
12,Demersal / Karang,Kakap Jenaha,Citarate,158
13,Demersal / Karang,Kakap Merah,Citarate,187
14,Demersal,Kapas-kapas,Citarate,1345
15,Pelagis Kecil,Kembung Lelaki,Citarate,1268
16,Pelagis Kecil,Kembung Perempuan,Citarate,1174
17,Karang (Reef-Associated),Kerapu,Citarate,175
18,Demersal,Kuniran,Citarate,826
19,Demersal,Kurisi,Citarate,1065
20,Pelagis Kecil / Semi-Demersal,Kuro,Citarate,2461
21,Pelagis Besar,Kuwe,Citarate,875
22,Pelagis Besar,Kuwe Gerong,Citarate,179
23,Pelagis Kecil,Layang,Citarate,413
24,Pelagis Besar,Layaran,Citarate,104
25,Demersal (Benthopelagis),Layur,Citarate,7621
26,Pelagis Besar,Lemadang,Citarate,2542
27,Karang (Reef-Associated),Lencam,Citarate,105
28,Demersal,Manyung,Citarate,267
29,Pelagis Besar,Marlin,Citarate,204
30,Pelagis Besar,Nyunglas,Citarate,75
31,Demersal (Elasmobranch),Pari,Citarate,300
32,Pelagis Besar,Pedang,Citarate,61
33,Pelagis Kecil / Semi-Demersal,Peperek,Citarate,1416
34,Karang (Reef-Associated),Pinjalo,Citarate,99
35,Pelagis Kecil,Pisang-pisang,Citarate,4278
36,Demersal (Flatfish),Sebelah,Citarate,435
37,Pelagis Kecil,Selar Bentong,Citarate,2743
38,Pelagis Kecil,Selar Kuning,Citarate,36
39,Karang (Reef-Associated),Swanggi,Citarate,402
40,Pelagis Besar,Tenggiri,Citarate,91
41,Pelagis Besar,Tenggiri Papan,Citarate,119
42,Pelagis Kecil / Semi-Demersal,Tetengkek,Citarate,641
43,Pelagis Besar,Tongkol,Citarate,551
44,Pelagis Besar,Tongkol Abu-abu,Citarate,486
45,Pelagis Besar,Tongkol Banyar,Citarate,1133
46,Pelagis Besar,Tongkol Komo,Citarate,929
