nama_ikan,ds,y
Gulamah/Tigawaja/Samgeh,2022-01-02,5900
Gulamah/Tigawaja/Samgeh,2022-01-03,5841
Gulamah/Tigawaja/Samgeh,2022-01-11,3600
Gulamah/Tigawaja/Samgeh,2022-01-12,3500
Gulamah/Tigawaja/Samgeh,2024-01-01,1837
Gulamah/Tigawaja/Samgeh,2024-01-02,3153
Gulamah/Tigawaja/Samgeh,2024-01-03,3801
Gulamah/Tigawaja/Samgeh,2024-01-04,2649
Gulamah/Tigawaja/Samgeh,2024-01-05,4177
Gulamah/Tigawaja/Samgeh,2024-01-06,5555
Gulamah/Tigawaja/Samgeh,2024-01-07,4134
Gulamah/Tigawaja/Samgeh,2024-01-08,4518
Gulamah/Tigawaja/Samgeh,2024-01-09,4096
Gulamah/Tigawaja/Samgeh,2024-01-10,4978
Gulamah/Tigawaja/Samgeh,2024-01-11,4950
Gulamah/Tigawaja/Samgeh,2024-01-12,4888
Ikan sebelah,2019-01-01,385
Ikan sebelah,2019-01-02,315
Ikan sebelah,2019-01-03,735
Ikan sebelah,2019-01-05,576
Ikan sebelah,2019-01-06,256
Ikan sebelah,2019-01-07,831
Ikan sebelah,2019-01-08,720
Ikan sebelah,2019-01-09,510
Ikan sebelah,2019-01-10,570
Ikan sebelah,2019-01-12,550
Ikan sebelah,2020-01-01,700
Ikan sebelah,2020-01-02,735
Ikan sebelah,2020-01-03,620
Ikan sebelah,2020-01-04,542
Ikan sebelah,2020-01-05,635
Ikan sebelah,2020-01-06,835
Ikan sebelah,2020-01-07,795
Ikan sebelah,2020-01-08,635
Ikan sebelah,2020-01-09,895
Ikan sebelah,2020-01-10,918
Ikan sebelah,2020-01-11,695
Ikan sebelah,2020-01-12,568
Ikan sebelah,2021-01-01,375
Ikan sebelah,2021-01-02,575
Ikan sebelah,2021-01-03,500
Ikan sebelah,2021-01-04,750
Ikan sebelah,2021-01-05,500
Ikan sebelah,2021-01-06,200
Ikan sebelah,2021-01-07,525
Ikan sebelah,2021-01-09,950
Ikan sebelah,2021-01-10,975
Ikan sebelah,2021-01-11,1025
Ikan sebelah,2021-01-12,525
Japuh,2019-01-01,1050
Japuh,2019-01-02,1400
Japuh,2019-01-03,1505
Japuh,2019-01-04,0
Japuh,2019-01-05,1088
Japuh,2019-01-06,800
Japuh,2019-01-07,600
Japuh,2019-01-08,600
Japuh,2019-01-09,690
Japuh,2019-01-10,0
Japuh,2019-01-11,0
Japuh,2019-01-12,0
Japuh,2020-01-01,704
